Cód. IBGE;Localidades;Períodos;Leitos;Leitos (Coeficiente por mil habitantes);Leitos SUS;Leitos SUS (Coeficiente por mil habitantes);Leitos Não SUS;Leitos Não SUS (Coeficiente por mil habitantes)
3500105;Adamantina;2010;308;9,11;271;8,02;37;1,09
3500105;Adamantina;2011;308;9,11;271;8,02;37;1,09
3500105;Adamantina;2012;300;8,87;263;7,77;37;1,09
3500105;Adamantina;2013;284;8,39;240;7,09;44;1,3
3500105;Adamantina;2014;279;8,24;240;7,09;39;1,15
3500105;Adamantina;2015;279;8,24;240;7,08;39;1,15
3500105;Adamantina;2016;279;8,23;240;7,08;39;1,15
3500105;Adamantina;2017;258;7,61;219;6,46;39;1,15
3500105;Adamantina;2018;258;7,61;219;6,46;39;1,15
3500105;Adamantina;2019;235;6,93;206;6,08;29;0,86
3500204;Adolfo;2010;0;0;0;0;0;0
3500204;Adolfo;2011;0;0;0;0;0;0
3500204;Adolfo;2012;0;0;0;0;0;0
3500204;Adolfo;2013;0;0;0;0;0;0
3500204;Adolfo;2014;0;0;0;0;0;0
3500204;Adolfo;2015;0;0;0;0;0;0
3500204;Adolfo;2016;0;0;0;0;0;0
3500204;Adolfo;2017;0;0;0;0;0;0
3500204;Adolfo;2018;0;0;0;0;0;0
3500204;Adolfo;2019;0;0;0;0;0;0
3500303;Aguaí;2010;76;2,37;49;1,53;27;0,84
3500303;Aguaí;2011;76;2,34;49;1,51;27;0,83
3500303;Aguaí;2012;76;2,32;49;1,49;27;0,82
3500303;Aguaí;2013;0;0;0;0;0;0
3500303;Aguaí;2014;0;0;0;0;0;0
3500303;Aguaí;2015;0;0;0;0;0;0
3500303;Aguaí;2016;10;0,29;0;0;10;0,29
3500303;Aguaí;2017;10;0,29;0;0;10;0,29
3500303;Aguaí;2018;10;0,29;0;0;10;0,29
3500303;Aguaí;2019;0;0;0;0;0;0
3500402;Águas da Prata;2010;0;0;0;0;0;0
3500402;Águas da Prata;2011;0;0;0;0;0;0
3500402;Águas da Prata;2012;0;0;0;0;0;0
3500402;Águas da Prata;2013;0;0;0;0;0;0
3500402;Águas da Prata;2014;0;0;0;0;0;0
3500402;Águas da Prata;2015;0;0;0;0;0;0
3500402;Águas da Prata;2016;0;0;0;0;0;0
3500402;Águas da Prata;2017;0;0;0;0;0;0
3500402;Águas da Prata;2018;0;0;0;0;0;0
3500402;Águas da Prata;2019;0;0;0;0;0;0
3500501;Águas de Lindóia;2010;42;2,43;30;1,74;12;0,7
